# Power System Parameters
5      	# Number of units (NUNITS)
3       # Number of of generation cost segments (NSEGMENTS)
24      # Number of time interval
14				# Number of buses
20				# Number of branches
#0				# Number of phase shifter


#unit bus
1   2   3   6   8

#Pmax and Pmin
332.4   140 100 100 100
0   0   0   0   0

#PO
0   0   0   0   0

# Number of hours on (+) or off (-) before hour 1 (ISTATE)
-1	-1	8	8	-1
#-1	-1	8	8	-1	-1	8	8	-8	-8	-8	-10	-10	-10	-2	-2	-2	-2	-2	8	8	1	1	1	1	1	1	1	1	8	8	24	-1	-1	8	8	-1	-1	8	8	-8	-8	-8	-10	-10	-10	-2	-2	-2	-2	-2	8	-8	1

# Minimum down time (MDT)
1	1	4	4	1
#1	1	4	4	1	1	4	4	8	8	8	10	10	10	2	2	2	2	2	8	8	1	1	1	1	1	1	1	1	8	8	48	1	1	4	4	1	1	4	4	8	8	8	10	10	10	2	2	2	2	2	8	8   1

# Minimum up time (MUT)
1	1	8	8	1
#1	1	8	8	1	1	8	8	8	8	8	12	12	12	4	4	4	4	4	8	8	1	1	1	1	1	1	1	1	8	8	24	1	1	8	8	1	1	8	8	8	8	8	12	12	12	4	4	4	4	4	8	8	1


#RU
232.68  98  70  70  70

#RD
232.68  98  70  70  70

#MSR
0.933333333 0.933333333 0.583333333 0.641666667 0.35


#QSC
0   0   0   0   0

#UBO
1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1

#NLC
900.5190882	900.5190882	178.6545376	178.6545376	900.5190882
#900.5190882	900.5190882	178.6545376	178.6545376	900.5190882	900.5190882	178.6545376	178.6545376	815.77565	815.77565	815.77565	2321.948616	2321.948616	2321.948616	98.5490064	98.5490064	98.5490064	98.5490064	98.5490064	551.9511638	551.9511638	530.88	530.88	0	0	0	0	0	0	551.9511638	551.9511638	1448.00068	900.5190882	900.5190882	178.6545376	178.6545376	900.5190882	900.5190882	178.6545376	178.6545376	815.77565	815.77565	815.77565	2321.948616	2321.948616	2321.948616	98.5490064	98.5490064	98.5490064	98.5490064	98.5490064	551.9511638	551.9511638	530.88

# Start up cold costs (SUCC)
28.905  28.905  733.676 733.676 28.905
#28.905  28.905  733.676 733.676 28.905  28.905  733.676 733.676 2283.244    2283.244    2283.244    3126.35 3126.35 3126.35 274.312 274.312 274.312 274.31  2   274.312 1173.143    1173.143    0   0   0   0   0   0   0   0   1173.143    1173.143    5500.108    28.905  28.905  733.676 733.676 28.905  28.905  733 676 733.676 2283.244    2283.244    2283.244    3126.35 3126.35 3126.35 274.312 274.312 274.312 274.312 274.312 1173.143

# Start up hot costs (SUHC)
28.905  28.905  733.676 733.676 28.905
#28.905  28.905  733.676 733.676 28.905  28.905  733.676 733.676 1008.5  1008.5  1008.5  1746.722    1746.722    1746.722    153.292 153.292 153.292 153.29  2   153.292 320.06  320.06  0   0   0   0   0   0   0   0   320.06  320.06  2357.365    28.905  28.905  733.676 733.676 28.905  28.905  733.676 733.676 1008    0.5 1008.5  1008.5  1746.722    1746.722    1746.722    153.292 153.292 153.292 153.292 153.292 320.06

# Shut-down cost (SDC)
0   0   0   0   0

# Number of hours of a cold start (TCOLD)
0   0   12  12  0

58.613559	82.506432	83.402487
58.613559	82.506432	83.402487
12.268146	14.250056	16.385841
12.268146	14.250056	16.385841
58.613559	82.506432	83.402487

# Power ranges for each slope of the production cost function (PR)
46.536  139.608 46.536
19.6    58.8    19.6
14  42  14
14  42  14
14  42  14
